,,


As of:,"Feb 16, 2018"

,,
Effective date ,S&P 500 VIX Short-Term Index MCAP
10/16/2009,71506.96
10/19/2009,69584.47
10/20/2009,69278.14
10/21/2009,69278.29
10/22/2009,66793.66
10/23/2009,67902.59
10/26/2009,69302.52
10/27/2009,69470.13
10/28/2009,74377.74
10/29/2009,70342.43
10/30/2009,77248.29
11/2/2009,77943.7
11/3/2009,78346.82
11/4/2009,77305.11
11/5/2009,73960.14
11/6/2009,71661.99
11/9/2009,67422.56
11/10/2009,67808.27
11/11/2009,68014.29
11/12/2009,71052.47
11/13/2009,69899.44
11/16/2009,68689.03
11/17/2009,68316.54
11/18/2009,65756.48
11/19/2009,66574.94
11/20/2009,65312.04
11/23/2009,62048.19
11/24/2009,61543.13
11/25/2009,60698.45
11/27/2009,64814.65
11/30/2009,64896.12
12/1/2009,62427.13
12/2/2009,61772.5
12/3/2009,63085.36
12/4/2009,61676.69
12/7/2009,61428.72
12/8/2009,63049.96
12/9/2009,62579.62
12/10/2009,61626.2
12/11/2009,61270.58
12/14/2009,60054.75
12/15/2009,59411.82
12/16/2009,56706
12/17/2009,57515.24
12/18/2009,56698.95
12/21/2009,54756.75
12/22/2009,53390.83
12/23/2009,52930.8
12/24/2009,52254.44
12/28/2009,51794.15
12/29/2009,52092.87
12/30/2009,52901.94
12/31/2009,54338.49
1/4/2010,52332.81
1/5/2010,51294.74
1/6/2010,49445.72
1/7/2010,48608.61
1/8/2010,47335.02
1/11/2010,46625.6
1/12/2010,47909.51
1/13/2010,47051.6
1/14/2010,46000.57
1/15/2010,47194.2
1/19/2010,45012.68
1/20/2010,44699.44
1/21/2010,47301.19
1/22/2010,51428.18
1/25/2010,50664.84
1/26/2010,51144.27
1/27/2010,49599.8
1/28/2010,50082.9
1/29/2010,51269.24
2/1/2010,48413.67
2/2/2010,46612.11
2/3/2010,46768.18
2/4/2010,52203.59
2/5/2010,52836.18
2/8/2010,53517.63
2/9/2010,52235.64
2/10/2010,52053.44
2/11/2010,50686.03
2/12/2010,50595.11
2/16/2010,47892.83
2/17/2010,46168.01
2/18/2010,44283.83
2/19/2010,43389.43
2/22/2010,42575.09
2/23/2010,43947.31
2/24/2010,43007.65
2/25/2010,42860.24
2/26/2010,41990.65
3/1/2010,41176.03
3/2/2010,40747.5
3/3/2010,40365.04
3/4/2010,40260.7
3/5/2010,38449.68
3/8/2010,37892.97
3/9/2010,37976.64
3/10/2010,38230.91
3/11/2010,38524.59
3/12/2010,38224.2
3/15/2010,38260.84
3/16/2010,37180.28
3/17/2010,35757.28
3/18/2010,35225.57
3/19/2010,35910.37
3/22/2010,35437.49
3/23/2010,34691.74
3/24/2010,35423.89
3/25/2010,35815.95
3/26/2010,35443.74
3/29/2010,34723.79
3/30/2010,34131.74
3/31/2010,33981.74
4/1/2010,33882.22
4/5/2010,32607.4
4/6/2010,31722.84
4/7/2010,32283.97
4/8/2010,31739.78
4/9/2010,31378.94
4/12/2010,31331.06
4/13/2010,31475.39
4/14/2010,30738.14
4/15/2010,30738.27
4/16/2010,31963.48
4/19/2010,31190.53
4/20/2010,29711.13
4/21/2010,29870.99
4/22/2010,29795.65
4/23/2010,29582.49
4/26/2010,29963.67
4/27/2010,33289.62
4/28/2010,32920.09
4/29/2010,31415.4
4/30/2010,34101.66
5/3/2010,32886.37
5/4/2010,36225.32
5/5/2010,37866.88
5/6/2010,44385.06
5/7/2010,48360.73
5/10/2010,41546.58
5/11/2010,41386.2
5/12/2010,39168.92
5/13/2010,40146.4
5/14/2010,44166.17
5/17/2010,44541.36
5/18/2010,47564.36
5/19/2010,48640.34
5/20/2010,55191.95
5/21/2010,54917.27
5/24/2010,53931.41
5/25/2010,51970.59
5/26/2010,50572.55
5/27/2010,46126.89
5/28/2010,47049.72
6/1/2010,49822.24
6/2/2010,46455.93
6/3/2010,46034.65
6/4/2010,50417.96
6/7/2010,52737.16
6/8/2010,50570.79
6/9/2010,51001.41
6/10/2010,47944
6/11/2010,46783.24
6/14/2010,45846.32
6/15/2010,43114.55
6/16/2010,41982.02
6/17/2010,41237.75
6/18/2010,40541.96
6/21/2010,40898.88
6/22/2010,42735.9
6/23/2010,43322.83
6/24/2010,45923.08
6/25/2010,44773.05
6/28/2010,45520.94
6/29/2010,49991.12
6/30/2010,50775.27
7/1/2010,50330.78
7/2/2010,48802.44
7/6/2010,46058.46
7/7/2010,43095.74
7/8/2010,42282.29
7/9/2010,41594.56
7/12/2010,40567.05
7/13/2010,40329.45
7/14/2010,41541.6
7/15/2010,41905.11
7/16/2010,43841.32
7/19/2010,43288.89
7/20/2010,40669.13
7/21/2010,41168.75
7/22/2010,38988.32
7/23/2010,38013.43
7/26/2010,36580.51
7/27/2010,36385.12
7/28/2010,36819.25
7/29/2010,36798.69
7/30/2010,36459.01
8/2/2010,34357.37
8/3/2010,34757.58
8/4/2010,34420.93
8/5/2010,34671.91
8/6/2010,34698.62
8/9/2010,34122.57
8/10/2010,34318.74
8/11/2010,37105.86
8/12/2010,37685.4
8/13/2010,38507.3
8/16/2010,38012.23
8/17/2010,36829.73
8/18/2010,36267.13
8/19/2010,37398.38
8/20/2010,37078.5
8/23/2010,36435.38
8/24/2010,37392.32
8/25/2010,36630.43
8/26/2010,37039.9
8/27/2010,34800.23
8/30/2010,35856.86
8/31/2010,35228.21
9/1/2010,33109.41
9/2/2010,32302.98
9/3/2010,30739.67
9/7/2010,31646.51
9/8/2010,30829.21
9/9/2010,30534.94
9/10/2010,29885.06
9/13/2010,28418.06
9/14/2010,28418.17
9/15/2010,27865.4
9/16/2010,27766.34
9/17/2010,27733.53
9/20/2010,27001.72
9/21/2010,27101.89
9/22/2010,27589.06
9/23/2010,28440.63
9/24/2010,26888.04
9/27/2010,27014.51
9/28/2010,26980.58
9/29/2010,27404.25
9/30/2010,28102.18
10/1/2010,27543.83
10/4/2010,27934.95
10/5/2010,26578.76
10/6/2010,26258.13
10/7/2010,26081.27
10/8/2010,25058.57
10/11/2010,24434.66
10/12/2010,23624.57
10/13/2010,23062.4
10/14/2010,23751.78
10/15/2010,23548.97
10/18/2010,22779.49
10/19/2010,23342.13
10/20/2010,22118.83
10/21/2010,21544.59
10/22/2010,20693.15
10/25/2010,20534.77
10/26/2010,20916.89
10/27/2010,21308.71
10/28/2010,21271
10/29/2010,21254.64
11/1/2010,21124.07
11/2/2010,20655.08
11/3/2010,19455.08
11/4/2010,18237.05
11/5/2010,18228
11/8/2010,18334.69
11/9/2010,18420.37
11/10/2010,18229.95
11/11/2010,18390.48
11/12/2010,19481.46
11/15/2010,19190.24
11/16/2010,20009.68
11/17/2010,19570.94
11/18/2010,18231.26
11/19/2010,18011.07
11/22/2010,17414.13
11/23/2010,18211.9
11/24/2010,17431.84
11/26/2010,18549.13
11/29/2010,18729.25
11/30/2010,20063.17
12/1/2010,19062.19
12/2/2010,17472.9
12/3/2010,16797.73
12/6/2010,16390.27
12/7/2010,16324.49
12/8/2010,15837.81
12/9/2010,15527.32
12/10/2010,15460.92
12/13/2010,15659.66
12/14/2010,15827.79
12/15/2010,16103.66
12/16/2010,15822.35
12/17/2010,15573.2
12/20/2010,15090.67
12/21/2010,14794.51
12/22/2010,14794.56
12/23/2010,15238.18
12/27/2010,15660.86
12/28/2010,15743.03
12/29/2010,15558.54
12/30/2010,15445.84
12/31/2010,15221.34
1/3/2011,14967.12
1/4/2011,14868.45
1/5/2011,14592.49
1/6/2011,14555.98
1/7/2011,14614.59
1/10/2011,14602.74
1/11/2011,14152.25
1/12/2011,13475.19
1/13/2011,13380.89
1/14/2011,12764.03
1/18/2011,12387.97
1/19/2011,13012.63
1/20/2011,12945.41
1/21/2011,13079.24
1/24/2011,12772.42
1/25/2011,12636.82
1/26/2011,12206.93
1/27/2011,11995.83
1/28/2011,13218.62
1/31/2011,13046.08
2/1/2011,12374.22
2/2/2011,12390.75
2/3/2011,12215.2
2/4/2011,11901.54
2/7/2011,11664.17
2/8/2011,11531.38
2/9/2011,11555.64
2/10/2011,11587.84
2/11/2011,11422.94
2/14/2011,11298.68
2/15/2011,11427.4
2/16/2011,11585.72
2/17/2011,11685.42
2/18/2011,11779.82
2/22/2011,13304.44
2/23/2011,13973.57
2/24/2011,13756.23
2/25/2011,12792.37
2/28/2011,12223.17
3/1/2011,13309.43
3/2/2011,13247.4
3/3/2011,12542.49
3/4/2011,12794.82
3/7/2011,13275.41
3/8/2011,12990.31
3/9/2011,13268.35
3/10/2011,13858.89
3/11/2011,13431.83
3/14/2011,13594.45
3/15/2011,14352.76
3/16/2011,15240.28
3/17/2011,14781.46
3/18/2011,14294.69
3/21/2011,13254.45
3/22/2011,13198.32
3/23/2011,12631.41
3/24/2011,12296.86
3/25/2011,12209.48
3/28/2011,12532.89
3/29/2011,12131.87
3/30/2011,11945.17
3/31/2011,11988.45
4/1/2011,11838.77
